,country,sector,gas,emissions_quantity,year
737,TKM,oil-and-gas-production-and-transport,co2e_100yr,157635916.8,2015
738,TKM,oil-and-gas-production-and-transport,co2e_20yr,320930826.1,2015
739,TLS,oil-and-gas-production-and-transport,co2,2262068.988,2015
740,TLS,oil-and-gas-production-and-transport,ch4,61870.28314,2015
741,TLS,oil-and-gas-production-and-transport,co2e_100yr,4105803.425,2015
742,TLS,oil-and-gas-production-and-transport,co2e_20yr,8160575.227,2015
743,TTO,oil-and-gas-production-and-transport,co2,11776882.36,2015
744,TTO,oil-and-gas-production-and-transport,ch4,337728.5888,2015
745,TTO,oil-and-gas-production-and-transport,co2e_100yr,21841194.31,2015
746,TTO,oil-and-gas-production-and-transport,co2e_20yr,41529773.39,2015
747,TUN,oil-and-gas-production-and-transport,co2,1366061.273,2015
748,TUN,oil-and-gas-production-and-transport,ch4,57593.97581,2015
749,TUN,oil-and-gas-production-and-transport,co2e_100yr,3082361.752,2015
750,TUN,oil-and-gas-production-and-transport,co2e_20yr,6742650.539,2015
751,TZA,oil-and-gas-production-and-transport,co2,138408.1464,2015
752,TZA,oil-and-gas-production-and-transport,ch4,8333.087529,2015
753,TZA,oil-and-gas-production-and-transport,co2e_100yr,386734.1548,2015
754,TZA,oil-and-gas-production-and-transport,co2e_20yr,855914.5233,2015
755,UKR,oil-and-gas-production-and-transport,co2,4225281.432,2015
756,UKR,oil-and-gas-production-and-transport,ch4,195772.6007,2015
757,UKR,oil-and-gas-production-and-transport,co2e_100yr,10059304.93,2015
758,UKR,oil-and-gas-production-and-transport,co2e_20yr,21375952.73,2015
759,THA,oil-and-gas-production-and-transport,co2,34453495.67,2015
760,THA,oil-and-gas-production-and-transport,ch4,341580.3334,2015
761,THA,oil-and-gas-production-and-transport,co2e_100yr,44632589.61,2015
762,THA,oil-and-gas-production-and-transport,co2e_20yr,66248734.12,2015
763,VNM,oil-and-gas-production-and-transport,co2,4697046.119,2015
764,VNM,oil-and-gas-production-and-transport,ch4,183849.8099,2015
765,VNM,oil-and-gas-production-and-transport,co2e_100yr,10175770.45,2015
766,VNM,oil-and-gas-production-and-transport,co2e_20yr,20923188.39,2015
767,YEM,oil-and-gas-production-and-transport,co2,1434936.352,2015
768,YEM,oil-and-gas-production-and-transport,ch4,62875.43946,2015
769,YEM,oil-and-gas-production-and-transport,co2e_100yr,3308624.448,2015
770,YEM,oil-and-gas-production-and-transport,co2e_20yr,6862753.184,2015
771,AGO,oil-and-gas-production-and-transport,co2,20677860.85,2016
772,AGO,oil-and-gas-production-and-transport,ch4,815063.1877,2016
773,AGO,oil-and-gas-production-and-transport,co2e_100yr,44966743.85,2016
774,AGO,oil-and-gas-production-and-transport,co2e_20yr,92193609.39,2016
775,ALB,oil-and-gas-production-and-transport,co2,344482.4039,2016
776,ALB,oil-and-gas-production-and-transport,ch4,8284.068416,2016
777,ALB,oil-and-gas-production-and-transport,co2e_100yr,591347.6427,2016
778,ALB,oil-and-gas-production-and-transport,co2e_20yr,1122343.645,2016
779,ARG,oil-and-gas-production-and-transport,co2,36280643.31,2016
780,ARG,oil-and-gas-production-and-transport,ch4,798892.9146,2016
781,ARG,oil-and-gas-production-and-transport,co2e_100yr,60087652.17,2016
782,ARG,oil-and-gas-production-and-transport,co2e_20yr,113099579.1,2016
783,AZE,oil-and-gas-production-and-transport,co2,14100805.67,2016
784,AZE,oil-and-gas-production-and-transport,ch4,367081.9764,2016
785,UZB,oil-and-gas-production-and-transport,co2,11810458.33,2015
786,UZB,oil-and-gas-production-and-transport,ch4,516320.6129,2015
787,UZB,oil-and-gas-production-and-transport,co2e_100yr,27196812.59,2015
788,UZB,oil-and-gas-production-and-transport,co2e_20yr,56050795.74,2015
789,VEN,oil-and-gas-production-and-transport,co2,125596911.7,2015
790,VEN,oil-and-gas-production-and-transport,ch4,1508229.519,2015
791,USA,oil-and-gas-production-and-transport,co2,394017896.2,2015
792,USA,oil-and-gas-production-and-transport,ch4,12990284.25,2015
793,USA,oil-and-gas-production-and-transport,co2e_100yr,781128366.9,2015
794,USA,oil-and-gas-production-and-transport,co2e_20yr,1596958092.0,2015
795,AZE,oil-and-gas-production-and-transport,co2e_100yr,25039848.57,2016
796,AZE,oil-and-gas-production-and-transport,co2e_20yr,49984039.88,2016
797,BEN,oil-and-gas-production-and-transport,co2,8360.372451,2016
798,BEN,oil-and-gas-production-and-transport,ch4,481.0284866,2016
799,BEN,oil-and-gas-production-and-transport,co2e_100yr,22695.02135,2016
800,BEN,oil-and-gas-production-and-transport,co2e_20yr,50426.77786,2016
801,BGD,oil-and-gas-production-and-transport,co2,2582321.356,2016
802,BGD,oil-and-gas-production-and-transport,ch4,185400.5341,2016
803,BGD,oil-and-gas-production-and-transport,co2e_100yr,8107257.271,2016
804,BGD,oil-and-gas-production-and-transport,co2e_20yr,18675444.14,2016
805,BGR,oil-and-gas-production-and-transport,co2,36035.78633,2016
806,BGR,oil-and-gas-production-and-transport,ch4,1082.755521,2016
807,BGR,oil-and-gas-production-and-transport,co2e_100yr,68301.90085,2016
808,BGR,oil-and-gas-production-and-transport,co2e_20yr,132158.3748,2016
809,BHR,oil-and-gas-production-and-transport,co2,5086613.304,2016
810,BHR,oil-and-gas-production-and-transport,ch4,126367.8707,2016
811,BHR,oil-and-gas-production-and-transport,co2e_100yr,8852375.849,2016
812,BHR,oil-and-gas-production-and-transport,co2e_20yr,16703541.77,2016
813,BLZ,oil-and-gas-production-and-transport,co2,13756.00657,2016
814,BLZ,oil-and-gas-production-and-transport,ch4,557.3635947,2016
815,BLZ,oil-and-gas-production-and-transport,co2e_100yr,30365.44169,2016
816,BLZ,oil-and-gas-production-and-transport,co2e_20yr,62659.47851,2016
817,BOL,oil-and-gas-production-and-transport,co2,7481469.25,2016
818,BOL,oil-and-gas-production-and-transport,ch4,239707.5185,2016
819,BOL,oil-and-gas-production-and-transport,co2e_100yr,14624753.3,2016
820,BOL,oil-and-gas-production-and-transport,co2e_20yr,29910370.67,2016
821,BRA,oil-and-gas-production-and-transport,co2,25042528.83,2016
822,BRA,oil-and-gas-production-and-transport,ch4,717915.9851,2016
823,BRA,oil-and-gas-production-and-transport,co2e_100yr,46436425.19,2016
824,BRA,oil-and-gas-production-and-transport,co2e_20yr,91306794.53,2016
825,BRB,oil-and-gas-production-and-transport,co2,9520.725198,2016
826,BRB,oil-and-gas-production-and-transport,ch4,346.4715554,2016
827,BRB,oil-and-gas-production-and-transport,co2e_100yr,19845.57755,2016
828,BRB,oil-and-gas-production-and-transport,co2e_20yr,40336.80031,2016
829,CHL,oil-and-gas-production-and-transport,co2,812459.7928,2016
830,CHL,oil-and-gas-production-and-transport,ch4,24585.94323,2016
